映射的结果
JData_Action_201602.sku_id| JData_Product.brand| 
138778,545,
138778,812,
138778,214,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
138778,545,
138778,812,
138778,214,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
138778,812,
61226,545,
61226,812,
61226,214,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
61226,545,
61226,812,
61226,214,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
61226,812,
